symbol,theme,etf_type,boom_status,boom_score,valuation_percentile,structure_score,notes
,半导体芯片,行业,不确定,50,50,60,人工维护：半导体景气和估值分位
,科技AI,主题,不确定,50,50,55,人工维护：AI/机器人/通信等主题景气
,医药医疗,行业,不确定,50,50,60,人工维护：医药政策和创新药景气
,金融地产,行业,不确定,50,50,60,人工维护：证券银行地产链景气
,新能源,主题,不确定,50,50,55,人工维护：新能源车/光伏/储能景气
,资源能源,行业,不确定,50,50,60,人工维护：商品价格和周期景气
,消费,行业,不确定,50,50,60,人工维护：消费复苏和估值
,红利低波,风格,不确定,50,50,70,人工维护：红利风格拥挤度和赔率
,宽基指数,宽基,不确定,50,50,75,人工维护：宽基市场状态
,科创创业,宽基,不确定,50,50,65,人工维护：成长宽基景气和估值
,港股中概,主题,不确定,50,50,55,人工维护：港股互联网/创新药景气
,海外指数,宽基,不确定,50,50,65,人工维护：海外指数估值和风险
,货币现金,货币债券,不确定,50,50,80,现金管理类，不参与进攻排名时可单独处理
,其他,其他,不确定,50,50,50,未分类 ETF 的中性默认值
