symbol,name,theme,asset_class
512000.SH,券商ETF,金融,equity_sector
512010.SH,医药ETF,医药,equity_sector
512760.SH,芯片ETF,科技,equity_sector
515790.SH,光伏ETF,新能源,equity_sector
515030.SH,新能源车ETF,新能源,equity_sector
512660.SH,军工ETF,军工,equity_sector
512690.SH,酒ETF,消费,equity_sector
512800.SH,银行ETF,金融,equity_sector
512400.SH,有色ETF,周期,equity_sector
515220.SH,煤炭ETF,周期,equity_sector
512980.SH,传媒ETF,传媒,equity_sector
515880.SH,通信ETF,科技,equity_sector
515170.SH,食品饮料ETF,消费,equity_sector
159996.SZ,家电ETF,消费,equity_sector
159825.SZ,农业ETF,消费,equity_sector
510500.SH,中证500ETF,宽基,equity_broad
159915.SZ,创业板ETF,宽基,equity_broad
510880.SH,红利ETF,宽基,equity_broad
511010.SH,国债ETF,债券,bond
511260.SH,10年国债ETF,债券,bond
511220.SH,城投债ETF,债券,bond
518880.SH,黄金ETF,商品,commodity
159985.SZ,豆粕ETF,商品,commodity
159980.SZ,有色金属ETF,商品,commodity
513100.SH,纳指ETF,跨境,cross_border
513500.SH,标普500ETF,跨境,cross_border
513180.SH,恒生科技ETF,跨境,cross_border
